City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mili,6.0815,171.735,81.79,77,99,18.14,MH,1707079696
1,albany,42.6001,-73.9662,40.8,52,1,1.99,US,1707079016
2,edinburgh of the seven seas,-37.0676,-12.3116,60.85,76,70,18.79,SH,1707079696
3,kirov,58.5966,49.6601,10.58,95,100,10.0,RU,1707079697
4,alvorada,-12.48,-49.1247,78.48,84,100,2.77,BR,1707079697
5,waitangi,-43.9535,-176.5597,65.82,83,35,1.99,NZ,1707079697
6,iqaluit,63.7506,-68.5145,-4.27,77,100,8.05,CA,1707079697
7,ylitornio,66.3089,23.6773,17.56,95,99,6.51,FI,1707079697
8,kikvidze,50.7416,43.0518,34.57,88,100,13.09,RU,1707079697
9,puerto natales,-51.7236,-72.4875,73.85,35,75,32.21,CL,1707079698
10,west island,-12.1568,96.8225,82.38,78,100,9.22,CC,1707079698
11,kavieng,-2.5744,150.7967,83.59,77,96,5.77,PG,1707079698
12,blackmans bay,-43.0167,147.3167,56.73,96,29,4.0,AU,1707079698
13,utrik,11.2278,169.8474,78.64,73,58,16.06,MH,1707079699
14,lompoc,34.6391,-120.4579,56.01,93,100,28.77,US,1707079699
15,adamstown,-25.066,-130.1015,76.98,79,98,10.07,PN,1707079699
16,port-aux-francais,-49.35,70.2167,41.25,72,10,19.53,TF,1707079699
17,sao vicente,-23.9631,-46.3919,79.27,59,75,6.91,BR,1707079700
18,port alfred,-33.5906,26.891,74.01,84,98,8.46,ZA,1707079700
19,biryusinsk,55.9634,97.8235,8.01,92,100,3.91,RU,1707079701
20,palmer,42.1584,-72.3287,44.62,37,0,5.75,US,1707079552
21,hadibu,12.65,54.0333,77.5,73,25,10.76,YE,1707079702
22,ballito,-29.539,31.2144,75.34,88,75,6.91,ZA,1707079566
23,xining,36.6167,101.7667,9.88,78,1,2.77,CN,1707079702
24,soio,-6.1349,12.3689,80.56,80,80,6.93,AO,1707079702
25,wailua homesteads,22.0669,-159.378,72.75,67,75,19.57,US,1707079702
26,luderitz,-26.6481,15.1594,66.42,85,5,8.61,NA,1707079702
27,hengchun,22.0042,120.7439,74.68,83,10,4.09,TW,1707079703
28,acajutla,13.5928,-89.8275,84.69,65,35,14.07,SV,1707079703
29,invercargill,-46.4,168.35,58.01,98,79,7.0,NZ,1707079703
30,thompson,55.7435,-97.8558,24.96,93,100,9.22,CA,1707079703
31,longyearbyen,78.2186,15.6401,30.04,80,75,29.93,SJ,1707079703
32,port mathurin,-19.6833,63.4167,78.64,72,86,14.41,MU,1707079703
33,galliano,29.4422,-90.2992,70.0,44,0,16.64,US,1707079704
34,kalymnos,36.95,26.9833,54.93,71,20,4.61,GR,1707079704
35,boquira,-12.8231,-42.7306,78.49,59,39,4.03,BR,1707079704
36,st. john's,47.5649,-52.7093,35.15,97,100,24.16,CA,1707079553
37,constantia,44.1833,28.65,41.7,81,100,11.97,RO,1707079705
38,vorgashor,67.5833,63.95,2.39,92,100,0.96,RU,1707079705
39,yellowknife,62.456,-114.3525,-1.71,81,20,5.75,CA,1707079705
40,ilulissat,69.2167,-51.1,-5.78,54,7,6.91,GL,1707079705
41,akureyri,65.6835,-18.0878,6.73,85,0,2.3,IS,1707079706
42,ushuaia,-54.8,-68.3,60.46,63,40,5.75,AR,1707079706
43,afaahiti,-17.75,-149.2833,84.07,85,99,15.3,PF,1707079706
44,lhasa,29.65,91.1,32.0,23,14,9.22,CN,1707079706
45,nova sintra,14.8667,-24.7167,70.29,71,0,9.04,CV,1707079706
46,grytviken,-54.2811,-36.5092,37.8,70,14,12.59,GS,1707079706
47,anadyr,64.75,177.4833,5.5,61,100,13.42,RU,1707079706
48,tiksi,71.6872,128.8694,-28.23,100,95,1.01,RU,1707079707
49,saipan,15.1355,145.701,79.5,69,40,18.41,MP,1707079707
50,elmali,36.7358,29.9177,38.73,71,100,4.7,TR,1707079630
51,rongelap,11.1635,166.8941,79.36,73,100,17.74,MH,1707079707
52,stanley,54.868,-1.6985,53.28,80,75,28.77,GB,1707079430
53,vanimo,-2.6741,141.3028,78.17,91,100,5.7,PG,1707079708
54,petropavlovsk-kamchatsky,53.0452,158.6483,7.45,81,20,7.0,RU,1707079708
55,udachny,66.4167,112.4,-24.99,96,67,5.23,RU,1707079708
56,san luis de la loma,17.2706,-100.8939,83.21,51,0,12.75,MX,1707079708
57,sarandi del yi,-33.35,-55.6333,93.58,25,8,15.14,UY,1707079708
58,avarua,-21.2078,-159.775,86.05,70,20,5.75,CK,1707079709
59,geraldton,-28.7667,114.6,59.41,82,16,12.66,AU,1707079709
60,plainview,40.7765,-73.4673,46.74,43,0,13.8,US,1707079709
61,papatowai,-46.5619,169.4708,58.86,95,99,6.64,NZ,1707079709
62,lewistown,40.5992,-77.5714,52.61,65,0,0.0,US,1707079709
63,susuman,62.7833,148.1667,-20.02,99,100,3.0,RU,1707079710
64,laguna de perlas,12.3429,-83.6712,89.69,56,11,9.22,NI,1707079710
65,laojunmiao,39.8333,97.7333,17.31,50,0,1.66,CN,1707079710
66,walvis bay,-22.9575,14.5053,68.95,83,100,0.0,NA,1707079710
67,mil'kovo,55.6078,37.7956,32.43,92,100,13.15,RU,1707079710
68,castillos,-34.1667,-53.8333,71.19,57,6,12.3,UY,1707079711
69,aasiaat,68.7098,-52.8699,-25.1,88,12,4.61,GL,1707079711
70,fort bragg,35.139,-79.006,56.82,40,0,9.22,US,1707079507
71,sur,22.5667,59.5289,69.82,62,24,2.98,OM,1707079711
72,alta,69.9689,23.2717,25.86,74,75,4.61,NO,1707079711
73,kapit,2.0167,112.9333,73.58,98,100,0.67,MY,1707079711
74,susa,35.8254,10.637,55.18,82,2,1.14,TN,1707079711
75,bethel,41.3712,-73.414,44.91,47,0,12.66,US,1707079712
76,talnakh,69.4865,88.3972,-0.8,97,100,6.91,RU,1707079511
77,port saint john's,-31.6229,29.5448,75.09,91,100,7.87,ZA,1707079712
78,santa elena de uairen,4.6167,-61.1333,86.86,34,86,3.94,VE,1707079712
79,kalmunai,7.4167,81.8167,77.4,87,85,3.87,LK,1707079712
80,iskateley,67.6803,53.1512,-2.97,91,90,7.0,RU,1707079712
81,klyuchi,52.2667,79.1667,22.01,91,100,10.18,RU,1707079713
82,turinsk,58.0458,63.696,-9.27,100,100,1.5,RU,1707079713
83,bredasdorp,-34.5322,20.0403,72.03,84,46,4.21,ZA,1707079713
84,arraial do cabo,-22.9661,-42.0278,82.26,78,75,13.8,BR,1707079713
